                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.8973,                 3.7381,                 1.8701,                0.02675,                0.10197,                0.02041,                0.00722,                 2.8744,                 4.2948,                 1.8513,                  6e-05,                  6e-05,                  6e-05
                      1,                 2.9267,                 3.7961,                 1.8451,                0.03675,                0.14009,                0.02816,                0.01034,                 2.7551,                 4.1086,                 1.7872,             0.00013861,             0.00013861,             0.00013861
                      2,                 2.5501,                 2.6955,                 1.6124,                0.68841,                0.53463,                0.61149,                 0.2551,                 2.1183,                 2.4136,                 1.4486,             0.00021564,             0.00021564,             0.00021564
                      3,                 1.5962,                0.86074,                  1.161,                 0.6511,                0.43867,                 0.4027,                 0.1963,                  1.858,                 2.4756,                 1.3447,             0.00029109,             0.00029109,             0.00029109
                      4,                 1.4211,                0.72274,                 1.0584,                0.93503,                0.58545,                0.65908,                0.33047,                 1.8186,                  1.229,                 1.3115,             0.00036495,             0.00036495,             0.00036495
                      5,                 1.2428,                0.63105,                 1.0234,                0.63362,                0.75921,                0.73372,                 0.4617,                 1.3505,                 1.2335,                 1.0992,             0.00043723,             0.00043723,             0.00043723
                      6,                 1.2078,                0.62943,                 1.0266,                0.80987,                 0.8132,                 0.8374,                0.54271,                 1.2835,                0.97201,                 1.0726,             0.00050792,             0.00050792,             0.00050792
                      7,                 1.2021,                0.59882,                 1.0095,                0.96121,                0.88938,                0.93258,                0.53001,                 1.5419,                 1.4365,                 1.2017,             0.00057703,             0.00057703,             0.00057703
                      8,                 1.1195,                 0.5705,                0.96855,                0.96293,                0.85809,                0.90806,                0.57949,                 1.3275,                0.91608,                 1.1056,             0.00064456,             0.00064456,             0.00064456
                      9,                 1.0421,                0.54722,                0.95131,                 0.9439,                0.80699,                0.87241,                0.45369,                 1.7496,                 1.4504,                 1.2881,              0.0007105,              0.0007105,              0.0007105
                     10,                 1.1186,                0.58998,                0.96683,                0.95061,                0.78971,                0.87988,                0.55105,                 1.4045,                0.86692,                 1.1134,             0.00077486,             0.00077486,             0.00077486
                     11,                0.97086,                0.53207,                0.92069,                0.96927,                0.87611,                 0.9362,                0.60986,                 1.3358,                0.99352,                 1.0717,             0.00083763,             0.00083763,             0.00083763
                     12,                0.97433,                0.50069,                0.92881,                0.96956,                0.93202,                0.96506,                0.65615,                 1.2839,                0.80358,                 1.0656,             0.00089882,             0.00089882,             0.00089882
                     13,                0.96526,                0.51247,                0.92339,                0.95076,                0.90164,                0.95273,                0.70261,                 1.0712,                0.86947,                0.99042,             0.00095843,             0.00095843,             0.00095843
                     14,                 1.0522,                0.53675,                0.93132,                0.78629,                0.78542,                0.82668,                0.42504,                  1.646,                 1.2102,                 1.2765,              0.0010165,              0.0010165,              0.0010165
                     15,                0.99709,                0.52352,                0.92859,                  0.991,                0.91137,                0.95809,                0.71431,                 1.1171,                0.75948,                0.98655,              0.0010729,              0.0010729,              0.0010729
                     16,                0.89686,                0.47829,                0.90774,                0.98614,                0.91487,                0.95944,                 0.6856,                 1.1944,                0.63489,                 1.0787,              0.0011277,              0.0011277,              0.0011277
                     17,                 0.8909,                0.46949,                0.89727,                0.98874,                0.94282,                0.97409,                0.79218,                0.82545,                0.71592,                0.91096,               0.001181,               0.001181,               0.001181
                     18,                  1.013,                0.51294,                0.95029,                   0.99,                0.94304,                0.96884,                0.70155,                 1.0985,                 0.6289,                0.96843,              0.0012327,              0.0012327,              0.0012327
                     19,                  1.085,                0.51991,                0.95691,                  0.988,                0.94188,                0.97456,                0.71219,                 1.0637,                0.58716,                  1.026,              0.0012828,              0.0012828,              0.0012828
                     20,                 1.0615,                0.53067,                0.95686,                0.98766,                0.91492,                0.95863,                0.62733,                 1.3904,                0.59108,                 1.0996,              0.0013313,              0.0013313,              0.0013313
                     21,                0.99327,                0.50594,                 0.9277,                0.97898,                0.90257,                0.95064,                0.69447,                 1.0852,                0.58057,                 1.0024,              0.0013783,              0.0013783,              0.0013783
                     22,                 1.0475,                0.53542,                0.95241,                0.98788,                0.86563,                0.93101,                0.51846,                 1.4398,                0.69234,                 1.2044,              0.0014236,              0.0014236,              0.0014236
                     23,                 1.1746,                0.55311,                0.98048,                0.98578,                0.90257,                0.94948,                0.59145,                 1.4896,                0.57403,                 1.1478,              0.0014674,              0.0014674,              0.0014674
                     24,                  1.088,                0.54489,                0.94497,                0.96717,                0.86103,                0.93244,                  0.645,                 1.1921,                0.58099,                 1.0147,              0.0015096,              0.0015096,              0.0015096
                     25,                0.91273,                 0.4829,                0.91138,                0.98774,                0.89676,                 0.9516,                0.67219,                  1.116,                0.63351,                0.98843,               0.001505,               0.001505,               0.001505
                     26,                0.94021,                0.49684,                 0.9134,                0.99235,                0.96728,                0.98443,                0.81083,                 0.8041,                0.56119,                0.89892,               0.001505,               0.001505,               0.001505
                     27,                0.88089,                0.47921,                0.88707,                0.98901,                0.94351,                0.97082,                0.72938,                0.99347,                0.61582,                0.93862,              0.0014852,              0.0014852,              0.0014852
                     28,                0.93026,                0.48506,                 0.9052,                0.99441,                 0.9587,                 0.9811,                0.68058,                 1.0865,                0.59708,                0.97913,              0.0014654,              0.0014654,              0.0014654
                     29,                0.88735,                0.48346,                0.89701,                0.99315,                 0.9352,                0.96306,                0.72281,                 1.0342,                0.55316,                0.97038,              0.0014456,              0.0014456,              0.0014456
                     30,                0.93771,                0.47199,                0.90011,                0.99017,                0.92765,                0.95905,                0.75636,                0.83832,                0.51792,                0.89681,              0.0014258,              0.0014258,              0.0014258
                     31,                 0.8687,                0.45879,                0.88834,                0.99373,                0.95721,                0.98186,                0.72801,                  1.024,                0.53015,                0.95042,               0.001406,               0.001406,               0.001406
                     32,                0.90157,                0.46511,                0.88395,                0.99687,                0.90911,                0.95924,                0.67474,                 1.2497,                0.56584,                 1.0374,              0.0013862,              0.0013862,              0.0013862
                     33,                0.83953,                0.44547,                0.88915,                0.99005,                0.88534,                0.93625,                0.67347,                 1.2264,                 0.5714,                 1.0849,              0.0013664,              0.0013664,              0.0013664
