                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.1535,                 3.8923,                 2.1686,                0.02246,                0.08541,                0.01399,                0.00484,                 2.9029,                    inf,                 2.0189,                0.00014,                0.00014,                0.00014
                      1,                 2.2047,                  1.897,                 1.5676,                0.68434,                0.28537,                0.33236,                0.11232,                 2.8929,                 2.2247,                 2.0451,             0.00029851,             0.00029851,             0.00029851
                      2,                 1.2992,                0.69231,                 1.1297,                0.90286,                0.58739,                0.65162,                0.28435,                 2.1907,                    inf,                 1.7171,             0.00045545,             0.00045545,             0.00045545
                      3,                 1.1793,                0.60466,                 1.0864,                0.79663,                0.63778,                0.67904,                0.30497,                  2.009,                 1.4974,                 1.4567,             0.00061079,             0.00061079,             0.00061079
                      4,                 1.0865,                0.57575,                 1.0021,                0.93534,                0.84808,                0.90391,                0.54832,                 1.3928,                    inf,                 1.1912,             0.00076456,             0.00076456,             0.00076456
                      5,                 1.0379,                0.53722,                  1.001,                0.96993,                0.90556,                0.95328,                0.64877,                 1.2244,                    inf,                 1.1143,             0.00091674,             0.00091674,             0.00091674
                      6,                0.97399,                0.50045,                0.97572,                0.99004,                0.94945,                 0.9701,                0.73577,                0.98411,                    inf,                0.98631,              0.0010673,              0.0010673,              0.0010673
                      7,                0.98552,                0.50387,                0.98119,                0.79685,                0.89574,                0.81477,                0.34032,                 1.7827,                    inf,                 1.4975,              0.0012163,              0.0012163,              0.0012163
                      8,                0.93818,                0.51969,                0.97246,                0.97177,                0.92175,                0.96323,                0.58918,                 1.3099,                 0.7507,                 1.1686,              0.0013638,              0.0013638,              0.0013638
                      9,                0.97425,                0.49283,                 1.0051,                0.98749,                0.96343,                0.98569,                0.68705,                  1.023,                0.65624,                 1.0259,              0.0015096,              0.0015096,              0.0015096
                     10,                0.91287,                 0.4756,                0.96799,                0.99103,                  0.963,                0.98249,                0.70792,                 1.0741,                0.59682,                 1.0474,              0.0016539,              0.0016539,              0.0016539
                     11,                 1.0293,                0.51366,                0.99426,                0.98357,                0.97707,                0.98907,                0.62465,                 1.3296,                0.84022,                 1.1243,              0.0017965,              0.0017965,              0.0017965
                     12,                 1.0281,                 0.5313,                0.96423,                0.97434,                0.94475,                0.96894,                0.62038,                 1.3778,                 0.6241,                 1.0842,              0.0018812,              0.0018812,              0.0018812
                     13,                 1.0435,                0.50019,                 0.9734,                0.98802,                 0.9512,                0.97454,                0.54041,                 1.7374,                0.72322,                 1.4762,              0.0018812,              0.0018812,              0.0018812
                     14,                 0.9311,                 0.4826,                0.95083,                0.98847,                0.98621,                0.99386,                0.80485,                0.78469,                0.45542,                0.91228,              0.0018713,              0.0018713,              0.0018713
                     15,                 0.7716,                0.43481,                0.91327,                0.99453,                0.96562,                0.98695,                0.84178,                0.69723,                0.40824,                0.88082,              0.0018614,              0.0018614,              0.0018614
                     16,                0.77875,                0.43192,                0.90671,                 0.9895,                0.98554,                0.99426,                0.78983,                0.98761,                0.56511,                 1.0209,              0.0018515,              0.0018515,              0.0018515
                     17,                0.84823,                0.44519,                0.92538,                0.99684,                0.96562,                0.98062,                0.76562,                 1.0206,                0.49785,                 1.0446,              0.0018416,              0.0018416,              0.0018416
                     18,                0.83288,                0.42003,                0.93927,                0.99303,                0.98637,                0.99458,                0.78869,                0.99389,                0.45031,                 1.0119,              0.0018317,              0.0018317,              0.0018317
                     19,                0.77074,                0.41893,                0.90888,                0.99725,                0.98051,                0.99192,                0.87155,                 0.6594,                0.35959,                0.87393,              0.0018218,              0.0018218,              0.0018218
                     20,                0.78962,                0.43348,                0.91908,                0.99467,                0.97514,                0.99139,                0.78917,                0.93824,                0.45488,                 1.0159,              0.0018119,              0.0018119,              0.0018119
                     21,                0.78465,                0.42752,                0.90761,                 0.9964,                0.97306,                0.99126,                0.84853,                0.81112,                0.40259,                0.93193,               0.001802,               0.001802,               0.001802
                     22,                0.80705,                0.41723,                0.91195,                0.99551,                 0.9844,                0.99455,                0.75586,                 1.0934,                0.46719,                 1.0104,              0.0017921,              0.0017921,              0.0017921
                     23,                0.72823,                 0.3954,                0.89578,                0.99507,                 0.9794,                0.99197,                0.86618,                0.67222,                0.35092,                0.88448,              0.0017822,              0.0017822,              0.0017822
                     24,                0.65291,                0.36993,                0.87699,                0.99573,                0.98051,                0.99108,                 0.8733,                0.62198,                0.32547,                0.87007,              0.0017723,              0.0017723,              0.0017723
                     25,                0.62863,                0.35983,                0.86408,                 0.9984,                0.97053,                0.98958,                 0.8897,                0.60267,                0.31551,                0.85797,              0.0017624,              0.0017624,              0.0017624
                     26,                0.66856,                 0.3677,                 0.8642,                0.99701,                0.98099,                0.99265,                 0.8849,                0.58973,                0.32064,                0.84198,              0.0017525,              0.0017525,              0.0017525
                     27,                0.72071,                0.38142,                0.87374,                0.99649,                0.98923,                0.99478,                0.84432,                0.75589,                0.36209,                0.87545,              0.0017426,              0.0017426,              0.0017426
                     28,                0.72779,                0.38117,                0.88873,                0.99583,                0.98511,                0.99434,                0.87765,                0.64414,                 0.3434,                0.86622,              0.0017327,              0.0017327,              0.0017327
                     29,                0.65904,                0.36303,                0.87224,                0.99598,                0.98266,                0.99437,                0.89416,                0.56078,                0.30797,                0.85026,              0.0017228,              0.0017228,              0.0017228
                     30,                0.68003,                0.36386,                0.87645,                0.99575,                0.98621,                 0.9947,                0.86717,                0.72265,                0.35373,                0.87511,              0.0017129,              0.0017129,              0.0017129
                     31,                0.68944,                0.37622,                0.87264,                0.99742,                0.98225,                0.99379,                0.85242,                0.69569,                0.33993,                0.86968,               0.001703,               0.001703,               0.001703
                     32,                0.61782,                0.34856,                 0.8617,                0.99663,                0.98449,                0.99324,                0.83695,                0.79957,                0.35403,                0.90023,              0.0016931,              0.0016931,              0.0016931
                     33,                0.62877,                0.35271,                0.85892,                0.99763,                0.96926,                0.98642,                0.88281,                 0.5936,                0.31472,                 0.8516,              0.0016832,              0.0016832,              0.0016832
                     34,                0.60132,                0.34331,                0.85327,                0.99646,                 0.9817,                0.99051,                0.88285,                0.60499,                0.31666,                0.85418,              0.0016733,              0.0016733,              0.0016733
                     35,                0.66049,                0.35375,                0.87159,                0.99726,                   0.98,                0.98994,                0.85554,                0.68671,                0.33447,                0.88387,              0.0016634,              0.0016634,              0.0016634
                     36,                0.63368,                0.34791,                0.85561,                0.99659,                0.97355,                0.98936,                0.88122,                0.62358,                0.30737,                0.86159,              0.0016535,              0.0016535,              0.0016535
                     37,                0.59793,                0.33359,                0.84833,                0.99676,                0.97417,                0.98886,                 0.8615,                0.76469,                0.34085,                0.87847,              0.0016436,              0.0016436,              0.0016436
                     38,                0.59906,                0.33476,                0.84922,                0.99511,                0.98479,                0.99277,                0.88461,                0.61704,                  0.311,                0.86141,              0.0016337,              0.0016337,              0.0016337
                     39,                0.56942,                0.32299,                0.84874,                 0.9983,                 0.9794,                0.99112,                0.90672,                0.52897,                0.28061,                 0.8345,              0.0016238,              0.0016238,              0.0016238
                     40,                0.59626,                0.32646,                0.84632,                0.99775,                0.98335,                0.99142,                0.92108,                0.51547,                0.28626,                0.83053,              0.0016139,              0.0016139,              0.0016139
                     41,                0.54161,                0.32499,                0.84411,                0.99741,                 0.9774,                 0.9905,                0.90914,                0.53773,                0.30585,                0.83773,               0.001604,               0.001604,               0.001604
                     42,                0.58323,                0.33415,                0.85014,                0.99857,                0.98051,                0.99255,                0.89567,                0.54143,                0.30128,                0.83431,              0.0015941,              0.0015941,              0.0015941
                     43,                 0.6597,                 0.3519,                0.86733,                0.99622,                0.96514,                0.98477,                0.87773,                0.58805,                0.29891,                0.85529,              0.0015842,              0.0015842,              0.0015842
                     44,                0.64118,                0.34454,                0.85786,                0.99737,                0.97512,                 0.9888,                0.88004,                0.60082,                0.31187,                0.84954,              0.0015743,              0.0015743,              0.0015743
                     45,                0.69948,                 0.3535,                0.86917,                 0.9963,                0.98156,                 0.9895,                0.80266,                0.90101,                0.36443,                0.95373,              0.0015644,              0.0015644,              0.0015644
                     46,                0.61208,                0.33293,                0.85505,                 0.9963,                0.98199,                0.99158,                0.86886,                0.62924,                0.32013,                0.86408,              0.0015545,              0.0015545,              0.0015545
                     47,                0.59941,                0.32781,                0.85174,                0.99718,                0.98542,                0.99468,                 0.8875,                0.63874,                0.30582,                0.86142,              0.0015446,              0.0015446,              0.0015446
                     48,                 0.6323,                0.33653,                0.85775,                0.99648,                0.98761,                0.99435,                0.90939,                0.53219,                0.28573,                 0.8299,              0.0015347,              0.0015347,              0.0015347
                     49,                0.57615,                0.32073,                0.84166,                0.99724,                0.97461,                 0.9884,                0.86493,                 0.6386,                 0.3204,                0.85167,              0.0015248,              0.0015248,              0.0015248
                     50,                0.55086,                0.30863,                0.83877,                0.99794,                0.98669,                0.99418,                0.91767,                0.48925,                0.27595,                 0.8206,              0.0015149,              0.0015149,              0.0015149
                     51,                0.62739,                 0.3306,                0.85556,                0.99643,                0.96371,                0.97908,                0.85578,                0.68177,                0.30869,                0.88537,               0.001505,               0.001505,               0.001505
                     52,                0.61064,                0.32871,                 0.8571,                 0.9949,                 0.9886,                0.99485,                0.89824,                0.60665,                0.29686,                0.85226,              0.0014951,              0.0014951,              0.0014951
                     53,                0.59624,                 0.3195,                0.85856,                0.99831,                 0.9794,                0.99098,                0.90095,                0.51203,                0.28103,                0.82846,              0.0014852,              0.0014852,              0.0014852
                     54,                0.56569,                0.31004,                0.85734,                0.99758,                0.97923,                0.98997,                0.87167,                0.61673,                 0.3033,                0.85839,              0.0014753,              0.0014753,              0.0014753
                     55,                0.65552,                0.33551,                0.87331,                0.99575,                0.98257,                0.99089,                 0.8197,                0.82903,                 0.3613,                0.89905,              0.0014654,              0.0014654,              0.0014654
                     56,                0.67162,                0.35024,                0.86699,                 0.9963,                 0.9756,                0.98524,                0.80913,                 0.8329,                0.35115,                0.91562,              0.0014555,              0.0014555,              0.0014555
                     57,                0.59879,                 0.3266,                0.85025,                0.99434,                0.99033,                0.99478,                0.84933,                 0.7407,                  0.338,                0.88737,              0.0014456,              0.0014456,              0.0014456
                     58,                0.57166,                 0.3122,                0.84658,                0.99773,                0.97515,                0.98649,                0.90923,                 0.5032,                0.26812,                0.82971,              0.0014357,              0.0014357,              0.0014357
                     59,                0.55236,                0.30865,                0.84093,                0.99678,                0.98087,                0.99066,                0.90172,                0.57515,                0.29072,                0.85195,              0.0014258,              0.0014258,              0.0014258
                     60,                0.55547,                0.30723,                0.83228,                0.99694,                0.98186,                0.99054,                0.91266,                0.49242,                 0.2665,                0.82757,              0.0014159,              0.0014159,              0.0014159
                     61,                 0.5108,                0.29399,                0.83106,                0.99521,                0.98727,                0.99263,                 0.9121,                0.52313,                0.26732,                0.84196,               0.001406,               0.001406,               0.001406
                     62,                0.50534,                0.29602,                0.83097,                0.99858,                0.98558,                0.99287,                0.91662,                0.50631,                0.26631,                0.83034,              0.0013961,              0.0013961,              0.0013961
                     63,                0.50088,                0.28787,                0.83362,                0.99663,                0.97702,                0.98955,                0.90307,                0.54552,                 0.2778,                0.83861,              0.0013862,              0.0013862,              0.0013862
                     64,                0.50181,                0.29007,                0.83379,                0.99651,                0.97528,                0.98738,                0.91322,                0.48639,                0.26294,                0.81808,              0.0013763,              0.0013763,              0.0013763
                     65,                0.50011,                0.28766,                0.83207,                0.99839,                 0.9807,                0.99039,                0.92309,                0.46611,                0.26017,                0.81676,              0.0013664,              0.0013664,              0.0013664
                     66,                0.52662,                0.29617,                0.83715,                0.99837,                0.97639,                0.98843,                0.90648,                0.51861,                0.27776,                0.83508,              0.0013565,              0.0013565,              0.0013565
                     67,                0.50485,                0.29472,                0.82839,                0.99854,                0.97756,                0.98925,                0.81558,                0.79258,                0.37585,                0.91876,              0.0013466,              0.0013466,              0.0013466
                     68,                 0.5593,                0.30637,                0.83704,                0.99886,                0.97436,                0.98645,                0.90853,                 0.5064,                0.26643,                0.82838,              0.0013367,              0.0013367,              0.0013367
                     69,                0.53967,                0.30252,                0.83663,                0.99648,                0.98793,                0.99469,                0.90187,                0.56245,                0.28398,                0.83424,              0.0013268,              0.0013268,              0.0013268
                     70,                0.50393,                0.29069,                 0.8298,                 0.9985,                 0.9756,                0.98482,                 0.9158,                0.48442,                0.25361,                0.82271,              0.0013169,              0.0013169,              0.0013169
                     71,                0.46634,                 0.2753,                0.82496,                 0.9979,                0.98796,                0.99449,                0.94009,                 0.4343,                  0.241,                0.81117,               0.001307,               0.001307,               0.001307
                     72,                0.51754,                0.29407,                 0.8296,                0.99759,                0.98374,                0.99126,                  0.935,                0.41935,                0.24693,                0.81199,              0.0012971,              0.0012971,              0.0012971
                     73,                0.50579,                0.28969,                0.83215,                0.99756,                0.98574,                 0.9894,                0.89712,                   0.53,                0.27452,                0.82252,              0.0012872,              0.0012872,              0.0012872
                     74,                0.50459,                0.29315,                0.83309,                0.99775,                0.98412,                0.98981,                0.92463,                0.46663,                0.25546,                0.81751,              0.0012773,              0.0012773,              0.0012773
                     75,                0.51216,                0.29974,                0.83212,                0.99706,                 0.9667,                0.98166,                0.88356,                0.58559,                0.28055,                0.84677,              0.0012674,              0.0012674,              0.0012674
                     76,                0.46636,                0.27957,                0.82499,                0.99887,                0.97778,                0.98759,                0.89369,                0.52637,                0.26626,                0.84157,              0.0012575,              0.0012575,              0.0012575
                     77,                0.53424,                 0.2977,                0.83703,                0.99644,                  0.976,                0.98513,                0.89049,                0.51393,                  0.267,                0.83426,              0.0012476,              0.0012476,              0.0012476
                     78,                0.51133,                0.28803,                0.83408,                0.99723,                0.96883,                0.98306,                0.90344,                0.51175,                0.26513,                0.83165,              0.0012377,              0.0012377,              0.0012377
                     79,                0.58411,                0.30262,                0.84814,                0.99647,                 0.9878,                0.99471,                0.89932,                0.58922,                0.27644,                0.86157,              0.0012278,              0.0012278,              0.0012278
                     80,                0.54074,                0.29421,                0.83849,                0.99757,                0.97415,                0.98441,                  0.904,                0.53393,                0.26756,                0.83465,              0.0012179,              0.0012179,              0.0012179
                     81,                0.48254,                0.27686,                0.82354,                0.99839,                0.98329,                0.99041,                0.91241,                0.49224,                0.25538,                0.82297,               0.001208,               0.001208,               0.001208
                     82,                0.51556,                0.28696,                0.83007,                0.99743,                0.98219,                0.98849,                0.90911,                0.48535,                0.25457,                0.83164,              0.0011981,              0.0011981,              0.0011981
