                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.7037,                 3.9216,                 2.5671,                  0.027,                0.10125,                0.02127,                0.00602,                 3.8841,                    inf,                 2.6751,                0.00014,                0.00014,                0.00014
                      1,                 2.9312,                 2.3795,                 1.9078,                0.40184,                0.17422,                 0.1611,                0.04181,                  3.733,                 2.9867,                 3.0326,             0.00029851,             0.00029851,             0.00029851
                      2,                 1.9297,                 1.1584,                 1.3374,                0.57473,                0.48016,                0.45341,                0.14173,                 2.7467,                    inf,                 2.2438,             0.00045545,             0.00045545,             0.00045545
                      3,                 1.6651,                0.93021,                 1.2477,                0.69867,                0.74016,                0.66418,                0.26973,                 2.1489,                    inf,                 1.7597,             0.00061079,             0.00061079,             0.00061079
                      4,                 1.5696,                0.82458,                 1.1899,                0.93585,                0.93391,                0.96976,                0.44857,                 1.6707,                    inf,                 1.3433,             0.00076456,             0.00076456,             0.00076456
                      5,                 1.5677,                 0.8301,                 1.1857,                0.95591,                0.89047,                0.96254,                0.41192,                 1.8999,                    inf,                 1.4962,             0.00091674,             0.00091674,             0.00091674
                      6,                 1.5388,                0.77156,                 1.1799,                0.92521,                0.88984,                0.95199,                0.39148,                 2.1076,                    inf,                 1.6599,              0.0010673,              0.0010673,              0.0010673
                      7,                 1.5176,                0.75412,                 1.1493,                0.95033,                0.95141,                 0.9682,                0.31023,                 2.5054,                 1.2184,                 1.9838,              0.0012163,              0.0012163,              0.0012163
                      8,                 1.4066,                0.72186,                 1.1312,                0.96832,                0.95031,                0.98815,                0.53681,                 1.6073,                0.82116,                 1.2907,              0.0013638,              0.0013638,              0.0013638
                      9,                 1.4732,                0.73878,                 1.1656,                0.94008,                0.96969,                0.98255,                0.50446,                 1.6081,                    inf,                 1.3121,              0.0015096,              0.0015096,              0.0015096
                     10,                 1.3558,                0.69362,                 1.1128,                0.98571,                0.98969,                 0.9933,                0.53108,                 1.5798,                    inf,                 1.2579,              0.0016539,              0.0016539,              0.0016539
                     11,                 1.4895,                0.67088,                 1.1474,                0.97067,                0.95151,                0.98885,                0.62263,                 1.3343,                0.69355,                 1.1552,              0.0017965,              0.0017965,              0.0017965
                     12,                 1.3678,                0.65694,                 1.1153,                0.92587,                0.88398,                0.96048,                0.58215,                  1.452,                0.87678,                 1.1936,              0.0018812,              0.0018812,              0.0018812
                     13,                 1.2202,                0.61535,                 1.0571,                0.80978,                0.77756,                 0.8855,                0.44312,                 1.8693,                 1.1342,                 1.3827,              0.0018812,              0.0018812,              0.0018812
                     14,                 1.2653,                0.60702,                 1.0672,                0.96158,                0.94631,                0.98839,                0.55717,                 1.5186,                0.73692,                 1.2042,              0.0018713,              0.0018713,              0.0018713
                     15,                 1.2557,                 0.5772,                 1.0364,                 0.9763,                0.97179,                0.99252,                 0.6606,                 1.2514,                0.69056,                 1.1257,              0.0018614,              0.0018614,              0.0018614
                     16,                 1.2288,                0.57642,                 1.0409,                0.98748,                0.97297,                0.99353,                0.63148,                 1.4169,                0.66543,                 1.1893,              0.0018515,              0.0018515,              0.0018515
                     17,                 1.2306,                0.56971,                 1.0499,                0.98794,                   0.99,                0.99222,                0.53546,                 1.5704,                 0.7079,                 1.2788,              0.0018416,              0.0018416,              0.0018416
                     18,                 1.2073,                0.56944,                 1.0573,                0.98551,                 0.9883,                0.99041,                0.51026,                 1.7046,                 0.6414,                  1.314,              0.0018317,              0.0018317,              0.0018317
                     19,                 1.1771,                0.55802,                 1.0589,                0.97906,                0.96844,                0.99279,                0.61785,                 1.4165,                0.64043,                 1.1533,              0.0018218,              0.0018218,              0.0018218
                     20,                 1.2546,                0.56372,                 1.0676,                0.99578,                0.99616,                0.99496,                0.55942,                 1.6194,                0.61231,                 1.2371,              0.0018119,              0.0018119,              0.0018119
                     21,                 1.1469,                0.53916,                 1.0329,                0.99926,                0.99938,                 0.9949,                0.64139,                 1.3045,                0.52105,                 1.1248,               0.001802,               0.001802,               0.001802
                     22,                 1.1139,                0.52024,                 1.0392,                 0.9999,                0.99984,                  0.995,                0.76498,                  0.913,                0.44595,                 0.9725,              0.0017921,              0.0017921,              0.0017921
                     23,                0.99682,                0.49918,                0.97988,                0.99953,                0.99905,                0.99496,                0.65471,                 1.2225,                0.48176,                 1.0827,              0.0017822,              0.0017822,              0.0017822
                     24,                 1.2105,                 0.5347,                 1.0468,                0.99962,                      1,                  0.995,                0.72823,                 1.0405,                0.45477,                  1.007,              0.0017723,              0.0017723,              0.0017723
