                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.8826,                 3.7507,                 1.8372,                0.02183,                0.08323,                0.01471,                0.00537,                 2.9988,                 4.4021,                 1.9108,                  2e-05,                  2e-05,                  2e-05
                      1,                 2.9831,                 3.7261,                  1.894,                0.02575,                0.09816,                0.01986,                 0.0071,                 2.8846,                 4.2988,                 1.8559,             5.9406e-05,             5.9406e-05,             5.9406e-05
                      2,                 2.8489,                 3.7565,                 1.8173,                0.03158,                0.12039,                0.02402,                0.00845,                 2.8095,                 4.2101,                 1.8188,              9.802e-05,              9.802e-05,              9.802e-05
                      3,                 2.8619,                 3.7494,                 1.8451,                0.03608,                0.13755,                0.02756,                0.00974,                 2.7564,                 4.1222,                  1.791,             0.00013584,             0.00013584,             0.00013584
                      4,                 2.9516,                 3.8489,                   1.86,                0.63724,                0.16238,                0.24335,                0.08681,                 2.4857,                 2.1812,                 1.6276,             0.00017287,             0.00017287,             0.00017287
                      5,                 2.3295,                 1.9659,                 1.4887,                0.61063,                0.55496,                0.57894,                0.23162,                 2.1376,                  1.874,                 1.4565,             0.00020911,             0.00020911,             0.00020911
                      6,                 1.8552,                 1.0795,                  1.262,                0.78468,                0.62861,                0.71817,                0.34907,                 1.7511,                 2.0575,                 1.2697,             0.00024456,             0.00024456,             0.00024456
                      7,                 1.5682,                0.84609,                 1.1415,                0.71544,                 0.3562,                 0.4142,                0.20184,                 1.9983,                 1.4993,                 1.4148,             0.00027921,             0.00027921,             0.00027921
                      8,                 1.3489,                0.74609,                 1.0632,                 0.7774,                0.26625,                0.33526,                0.16047,                 2.0907,                 1.4316,                 1.4635,             0.00031307,             0.00031307,             0.00031307
                      9,                 1.2849,                0.68258,                 1.0402,                0.90951,                0.43742,                0.51975,                0.25799,                 1.8679,                   1.24,                 1.3542,             0.00034614,             0.00034614,             0.00034614
                     10,                 1.1958,                0.65077,                 1.0347,                0.96024,                0.52478,                 0.5919,                0.23193,                 2.2278,                 1.4918,                 1.5517,             0.00037842,             0.00037842,             0.00037842
                     11,                 1.5354,                0.67626,                 1.0929,                0.97747,                0.75808,                0.82055,                0.48085,                 1.5208,                 1.1229,                  1.179,             0.00040991,             0.00040991,             0.00040991
                     12,                 1.1031,                0.57854,                0.95918,                0.94907,                0.82402,                0.87681,                0.53354,                 1.3959,                 1.0681,                  1.143,              0.0004406,              0.0004406,              0.0004406
                     13,                 1.3759,                0.65393,                 1.0711,                0.96966,                0.82052,                0.88864,                 0.5026,                 1.5796,                0.97798,                 1.2406,              0.0004705,              0.0004705,              0.0004705
                     14,                 1.3772,                0.65313,                 1.0433,                 0.9594,                0.85578,                0.90922,                0.50926,                 1.5851,                 1.2252,                 1.2521,             0.00049961,             0.00049961,             0.00049961
                     15,                 1.1636,                0.60451,                 1.0012,                 0.9419,                0.89422,                0.93261,                 0.5714,                 1.3149,                0.90941,                 1.1262,             0.00052793,             0.00052793,             0.00052793
                     16,                 1.2978,                0.64146,                 1.0471,                0.96244,                 0.9101,                0.95831,                0.61876,                  1.252,                0.84448,                 1.0997,             0.00055546,             0.00055546,             0.00055546
                     17,                  1.058,                0.57212,                0.95991,                0.98257,                0.85928,                0.93254,                0.61928,                 1.2132,                 1.1488,                 1.0753,             0.00058219,             0.00058219,             0.00058219
                     18,                 1.0766,                0.57458,                0.99249,                0.96492,                0.88564,                0.93718,                0.58654,                 1.3807,                 1.3043,                 1.1178,             0.00060813,             0.00060813,             0.00060813
                     19,                 1.1712,                0.56635,                0.98088,                0.95956,                0.82179,                0.87982,                0.51377,                 1.5711,                 1.1533,                 1.1952,             0.00063328,             0.00063328,             0.00063328
                     20,                 1.0792,                0.55282,                0.95856,                0.95605,                0.77795,                0.84502,                0.48754,                 1.5741,                  1.132,                 1.1875,             0.00065764,             0.00065764,             0.00065764
                     21,                 1.0159,                0.52136,                0.94045,                0.92461,                0.68953,                0.76617,                0.42275,                 1.7025,                 1.1852,                 1.2198,             0.00068121,             0.00068121,             0.00068121
                     22,                 1.0177,                0.52325,                0.94051,                0.90183,                0.61576,                0.70427,                0.26157,                 2.3006,                 1.3727,                 1.5406,             0.00070398,             0.00070398,             0.00070398
                     23,                0.92028,                0.51476,                0.94344,                0.90951,                 0.6906,                0.78464,                0.26728,                 2.4133,                 1.5218,                 1.6562,             0.00072596,             0.00072596,             0.00072596
                     24,                0.93095,                0.49439,                0.93207,                0.96194,                0.83506,                0.89932,                0.43496,                 1.8765,                 1.1567,                 1.2937,             0.00074715,             0.00074715,             0.00074715
                     25,                0.99439,                0.51688,                0.90317,                0.96876,                0.92535,                0.96792,                0.59114,                 1.4629,                0.98385,                 1.1154,             0.00076755,             0.00076755,             0.00076755
                     26,                  1.313,                0.61474,                 1.0172,                   0.98,                0.93415,                0.96806,                0.49702,                 1.6884,                0.93355,                 1.2144,             0.00078716,             0.00078716,             0.00078716
                     27,                 1.0156,                0.57419,                0.94391,                0.97999,                0.88278,                0.94311,                0.55489,                 1.3936,                 1.0678,                 1.1195,             0.00080597,             0.00080597,             0.00080597
                     28,                0.93255,                0.49794,                0.91312,                0.68187,                0.86023,                0.75972,                0.37123,                  1.765,                    inf,                 1.2906,             0.00082399,             0.00082399,             0.00082399
                     29,                 1.0158,                0.54096,                0.95825,                0.97626,                 0.8883,                0.94055,                0.49817,                 1.7277,                 1.0914,                 1.2672,             0.00084122,             0.00084122,             0.00084122
                     30,                 1.0384,                0.52551,                0.94001,                0.97692,                0.90597,                0.95585,                0.69337,                 1.0388,                0.71605,                0.98311,             0.00085766,             0.00085766,             0.00085766
                     31,                0.90068,                0.49077,                 0.9028,                0.97755,                0.94981,                0.97579,                0.73557,                0.99375,                0.74248,                0.95999,             0.00087331,             0.00087331,             0.00087331
                     32,                0.89936,                0.48695,                0.91043,                0.97785,                0.91328,                0.95317,                 0.7066,                0.98975,                0.79362,                0.96298,             0.00088816,             0.00088816,             0.00088816
                     33,                0.93767,                0.49103,                0.92002,                0.96473,                0.93829,                0.96423,                0.71178,                 1.0214,                0.67314,                0.94637,             0.00090222,             0.00090222,             0.00090222
                     34,                0.96866,                0.49096,                0.92232,                0.96457,                0.92528,                0.95466,                 0.6169,                 1.3406,                0.73677,                 1.0652,             0.00091549,             0.00091549,             0.00091549
                     35,                0.95563,                0.50899,                0.91499,                0.97284,                0.88532,                0.92866,                0.64991,                 1.1488,                0.64387,                0.98344,             0.00092797,             0.00092797,             0.00092797
                     36,                0.92478,                0.49925,                0.91558,                0.98408,                0.88278,                0.91935,                 0.6065,                 1.2147,                0.74345,                 1.0378,             0.00093966,             0.00093966,             0.00093966
                     37,                 1.0406,                0.49579,                0.92787,                0.98364,                0.93488,                 0.9557,                0.76209,                0.83309,                0.65911,                0.90665,             0.00095055,             0.00095055,             0.00095055
                     38,                0.89929,                0.46361,                0.91754,                0.98104,                0.94663,                0.96864,                0.67741,                 1.2135,                0.82378,                 1.0001,             0.00096065,             0.00096065,             0.00096065
                     39,                0.93384,                0.46696,                0.91445,                0.98826,                0.90899,                0.95763,                0.65544,                 1.1322,                0.84823,                0.98832,             0.00096996,             0.00096996,             0.00096996
                     40,                 1.0029,                0.49474,                0.92707,                0.97496,                0.89104,                0.94763,                0.72278,                0.96675,                 0.6202,                0.95043,             0.00097848,             0.00097848,             0.00097848
                     41,                0.85716,                0.45319,                0.88958,                0.98264,                0.95966,                0.97841,                0.72894,                 1.0726,                0.63467,                0.98493,             0.00098621,             0.00098621,             0.00098621
                     42,                0.98254,                0.48468,                 0.9308,                0.99141,                0.96506,                0.98872,                0.78981,                0.82746,                0.61451,                 0.9149,             0.00099314,             0.00099314,             0.00099314
                     43,                0.87866,                0.46705,                0.89816,                0.98645,                0.91137,                0.96009,                0.68239,                 1.1328,                 0.6546,                0.98858,             0.00099928,             0.00099928,             0.00099928
