,Image,Number identified - gmm,Number identifiable - gmm,Percentage - gmm,RMSE_cx - gmm,RMSE_cy - gmm,RMSE_c - gmm,RMSE_sigmax - gmm,RMSE_sigmay - gmm,RMSE_sigma - gmm,RMSE_amplitude - gmm
18,18,65,78,83.33,1.629032959159389,0.36835817223805073,1.6701605087781692,18.179371232134223,39.307956033523716,43.30825493978236,18.838063906141837
19,53,62,79,78.48,1.7423887377970233,0.42601975814181264,1.7937143997663376,14.294192589246075,39.775964984852706,42.26643268901086,25.854743229078895
16,55,59,79,74.68,1.2782337679750986,0.5576529270724848,1.3945817841433066,14.537999435892058,35.132387306823745,38.021547384011974,28.421759605856117
13,70,65,78,83.33,1.5165509935604333,0.36623407826207993,1.5601456073551638,17.975214286408878,41.67876310348377,45.38973036358156,20.247684461627582
15,79,68,80,85.0,1.5000570489829799,0.3130651575233573,1.5323775458608921,14.886591750753638,40.345569232869295,43.004366879165374,17.385840158765607
4,94,63,78,80.77,1.484559715836215,0.4665264431880449,1.5561376777385063,17.87865590077538,39.93378523825029,43.75332604811921,22.642762912742917
6,99,67,79,84.81,1.3243152831785692,0.34482532707983216,1.368471949093604,14.525688087931105,39.840588570089125,42.405991463930896,20.175151397672153
11,109,67,78,85.9,2.2049886561145358,0.3969452434810383,2.240433105432074,17.584836876514913,38.708173997933514,42.51528221978463,21.905880637031412
8,112,67,79,84.81,1.201157103921356,0.3009480142912091,1.238284335524988,14.832444373461096,38.21654421928064,40.99397099764855,19.326476728715917
5,113,64,79,81.01,1.5251818330384457,0.3753667188128749,1.5706940495917265,15.607442518397574,38.21633203526952,41.28050746048371,23.077634389484224
1,121,65,78,83.33,1.8872681485174945,0.34308865649813974,1.9181999089319002,15.46957248709484,40.097606310497355,42.978200343489476,20.57735522433492
14,129,66,79,83.54,1.6154076340660537,0.3458808878654727,1.652021613899011,14.17217699985541,38.284715397680124,40.82364552556026,20.095359539095774
12,131,64,80,80.0,1.3852382055609038,0.4460062088330186,1.4552685059682955,15.860449305522517,36.88806562939699,40.1532469179237,22.987823647270673
2,140,66,78,84.62,1.4965403669896724,0.3729476711908101,1.542310939945714,15.867049542126091,39.74188477414119,42.79229681348501,17.385897990578588
17,148,66,78,84.62,1.4514071894958103,0.3792333171632149,1.5001335735749475,14.911571282830966,38.961662295174506,41.71769512959905,21.656253898336146
9,176,68,79,86.08,1.26546387282667,0.35084888974695205,1.3131998160471023,17.59911591485,38.72416371910708,42.53574657542214,18.022927921056848
7,184,69,79,87.34,1.8275405710411936,0.3020078637470001,1.8523264530224144,15.102147706644198,40.300826454296896,43.0375589253463,15.776209907230482
3,186,67,77,87.01,1.8635797186050198,0.5618419729874444,1.9464315477833762,19.991244642837994,40.023554545648146,44.73851563069869,18.34858009950764
0,193,66,79,83.54,1.3660414155131206,0.3277818980277725,1.4048167572931993,15.313235659936044,38.71380313147572,41.63236408468052,21.576217719787472
10,194,65,78,83.33,2.806140342143677,0.3835605346791493,2.8322327417727498,21.88961886140794,39.75418031264729,45.38226819175282,21.9152644420466
