,Image,Number identified - YOLO,Number identifiable - YOLO,Percentage - YOLO,RMSE_cx - YOLO,RMSE_cy - YOLO,RMSE_c - YOLO,RMSE_sigmax - YOLO,RMSE_sigmay - YOLO,RMSE_sigma - YOLO,RMSE_amplitude - YOLO
18,18,74,78,94.87,0.8567986131163087,0.2075572499323729,0.8815803284088861,638.9178203030364,926.0303838508927,1125.054777740095,23.28597736364859
19,53,76,79,96.2,0.78714324827603,0.25622143763795346,0.8277946112483455,640.2074731593633,920.2665368041601,1121.0513402385368,36.87691742663824
16,55,74,79,93.67,1.2585037997585367,0.33696441419785367,1.3028341530841052,633.7783895154654,927.0696709595967,1123.001879709002,34.808996536082525
13,70,78,78,100.0,0.8008392989640397,0.18774903333421533,0.8225529054614948,642.2700224644799,916.8920482305068,1119.4649658943588,28.872732448606104
15,79,71,80,88.75,0.9933901021957928,0.15231825461008774,1.0049998735462762,633.7737260984612,930.5746100563747,1125.8944181291163,19.194185320985085
4,94,75,78,96.15,1.149700040991292,0.18544400527425012,1.1645598582071832,635.9850558734819,918.8922395674506,1117.5150733800779,29.76417395914219
6,99,76,79,96.2,0.9702130352842366,0.19901790771790032,0.990414792613611,631.4638104334206,928.7201649124405,1123.0617474574074,27.396044316659207
11,109,74,78,94.87,0.9036740806580538,0.13647229504847846,0.913920965603141,645.3323202409277,930.8977067495701,1132.7066451553765,22.39928933749401
8,112,77,79,97.47,1.0021573689278132,0.21131921083732325,1.0241949037977225,640.9987043159035,936.2731567315192,1134.6747388351744,26.594177927546404
5,113,75,79,94.94,4.386951019485044,1.3331556916230949,4.585045620870955,633.2945297931833,913.2750908062166,1111.3655352551978,28.09308478019556
1,121,76,78,97.44,0.8974731862619761,0.2178271974234566,0.9235295382371813,640.7783413770276,919.8905831470831,1121.0689397805004,29.532001349017968
14,129,76,79,96.2,0.9694198184865834,0.17745396193377827,0.9855276216730585,633.4586557236562,935.8921373729038,1130.116791003321,24.662050207492925
12,131,76,80,95.0,0.8614897005718875,0.15866079771152802,0.875978169203947,638.2465119096008,920.4094813610415,1120.0500985866988,28.397114876605063
2,140,78,78,100.0,5.670252869070199,1.3193034843656688,5.821711885954012,636.3143307827562,922.5154673508049,1120.683146594514,24.46928271581291
17,148,78,78,100.0,1.0658639682902677,0.2104590420817728,1.0864432830541382,634.9201368517486,912.8987677463966,1111.983696073253,27.569738447129833
9,176,77,79,97.47,1.0414981481205268,0.16633161579635444,1.0546964487244246,643.6205322495786,921.3892697234852,1123.9241860084728,23.912139312464536
7,184,76,79,96.2,0.9924830338031814,0.15010012869733272,1.0037692070501678,641.2953439913309,921.3542574715711,1122.5655375014635,18.547042201125947
3,186,75,77,97.4,0.9305891164876146,0.1823906080874137,0.9482944888818534,637.6071810543297,929.0394310457115,1126.7906556986475,18.268600175307725
0,193,73,79,92.41,0.8516298113687624,0.1712048453519068,0.8686681959666557,643.8651872670263,933.4518880148298,1133.973018467747,25.581351438639853
10,194,74,78,94.87,0.8520955544442506,0.23933922367789828,0.8850706739545683,643.9040369290545,918.915511228098,1122.059769151862,29.23585388980981
