,Image,Number identified - ensembled,Number identifiable - ensembled,Percentage - ensembled,RMSE_cx - ensembled,RMSE_cy - ensembled,RMSE_c - ensembled,RMSE_sigmax - ensembled,RMSE_sigmay - ensembled,RMSE_sigma - ensembled,MaxE_sigmax - ensembled,MaxE_sigmay - ensembled,MaxE_sigma - ensembled,RMSE_amplitude - ensembled,RMSEPixel - ensembled
18,18,74,78,94.87,0.7130781469535912,0.20389608905213413,0.7416562942452003,2.9765656509651794,4.069370689009812,5.041797385762141,20.2413029089165,48.81450053263405,52.844732998673024,23.700110765352417,502329.32458221004
19,53,76,79,96.2,0.775255596370644,0.24236113138291532,0.8122562143247718,3.0829234633728024,4.168061414136579,5.184317991117903,13.689170582767323,40.09079170275845,42.36348628946948,36.177281631612516,916105.3269294283
16,55,74,79,93.67,1.258590379369834,0.3319379945360536,1.3016268955652845,3.064903639729192,4.20677319568699,5.204860712908251,13.340469633236223,37.32840960835883,39.64061419711751,34.67893317952483,861068.9009813608
13,70,78,78,100.0,0.7537371256295518,0.18727550861415732,0.7766542156448969,2.911320775490628,2.937973813865262,4.136118807379854,11.202295518314598,15.689670515309873,19.278412428377894,28.847832179468202,835254.1295950258
15,79,71,80,88.75,0.9267771581214801,0.16345557593696947,0.9410810943381093,2.642552865384553,2.7441626811626296,3.8096606761019784,14.302812338327712,19.335251643061625,24.050413653114923,19.696543005219542,199943.82206219755
4,94,75,78,96.15,1.0638797524580106,0.18878396387400934,1.0804996588181328,2.476413082857229,2.353184352468006,3.4161525659207195,10.079100223370352,10.253006663588193,14.37749654690719,29.731585318565983,740093.7011263007
6,99,76,79,96.2,0.8840147316923865,0.19715454310874325,0.9057328302085441,2.4619091755022855,3.46939763887208,4.25414113130177,14.221453696170883,35.29326673724174,38.0508136866799,27.446611306427048,663152.7001970455
11,109,74,78,94.87,0.84737640633678,0.13639068735661866,0.8582827002881083,2.3648696670540135,1.9929262695103818,3.0926305401481,9.667922733348462,11.788347407418978,15.245781861747785,22.339714331571134,406058.1577123882
8,112,77,79,97.47,0.8667996722774565,0.2028479689052704,0.8902184958476764,2.4823498650769995,2.971276050627094,3.871762159750769,8.752672925794098,19.367347509936785,21.25331580992913,26.50361222712756,736875.2093501181
5,113,75,79,94.94,4.31683874026626,1.3300142518386155,4.517082534065259,3.248815534397931,4.882806500178239,5.864861609171028,19.101055318826607,65.83522575709168,68.55018063273138,28.09709813939221,720441.524940752
1,121,76,78,97.44,0.8705043785026718,0.2178148638805488,0.8973411769887889,2.0302733456560618,3.46248022470201,4.01382350939026,10.12156241652256,16.040209240138793,18.96666386634708,29.604034909139827,698150.9174640022
14,129,76,79,96.2,0.9556327490812259,0.17443150190177859,0.9714217930292954,2.2698306185885633,3.304354350419586,4.008851295598152,10.148617100030858,37.43557808643705,38.78681394119353,25.281211201019875,601836.1123430352
12,131,76,80,95.0,0.7433121782484138,0.1677592254077756,0.7620079737390013,2.821639933965314,2.9481244353989267,4.080819722009785,11.82200908610774,14.550671579218369,18.747851669945735,28.451497820267758,614255.6315393178
2,140,78,78,100.0,5.639601336414614,1.3100764793309678,5.789767146905454,3.388267371953382,4.141374912612402,5.350826286720515,23.17259598695359,50.45649027444274,55.52320790074645,24.261270023209065,848837.7960342237
17,148,78,78,100.0,1.0589926343466456,0.1996896398705141,1.0776554884897418,3.306929777944035,3.6119480690301407,4.897137266773676,13.965597620582518,47.34014912762076,49.35714372130334,27.302775325376103,712389.190955172
9,176,77,79,97.47,0.9957476756929736,0.16763715460248424,1.0097601939327854,2.184753332235598,2.6100501057632504,3.4037492089326005,10.34265759355234,13.966572242875488,17.379174500330155,23.625866705570246,558883.4743036026
7,184,76,79,96.2,0.9029658122617767,0.1468719665905314,0.9148325708476609,2.744818329184049,3.004921285742699,4.069837784695388,16.138627226349985,17.32735321304713,23.678945460488308,18.540168920836017,385448.4874320823
3,186,75,77,97.4,0.9134639549407023,0.18138160270557946,0.9312978485833381,2.442053792623188,2.3136442278686578,3.364011941003666,11.790425804280432,11.657465034337124,16.580429176382452,18.248739173130698,391180.5797002317
0,193,73,79,92.41,0.7862133849253057,0.17178174975919164,0.8047611174665662,3.01605753279613,2.868708885814176,4.16246245781094,12.879789352550233,12.402399525131386,17.880393948317963,25.68873183273225,498169.77554366586
10,194,74,78,94.87,0.7440802198492419,0.23681353364079782,0.7808559555297874,2.4808391962545766,4.033601384601896,4.735451746933484,10.604425898391172,55.07504663394596,56.086670523091236,28.547620117435653,575403.8176493308
