,Image,Number identified - YOLO,Number identifiable - YOLO,Percentage - YOLO,RMSE_cx - YOLO,RMSE_cy - YOLO,RMSE_c - YOLO,RMSE_sigmax - YOLO,RMSE_sigmay - YOLO,RMSE_sigma - YOLO,MaxE_sigmax - YOLO,MaxE_sigmay - YOLO,MaxE_sigma - YOLO,RMSE_amplitude - YOLO,RMSEPixel - YOLO
3,401,85,79,107.59,10.61270064892147,0.21100006666923019,10.614797976963697,15.133173237656727,3.7974527969996417,15.602358154662717,73.36419329375674,73.7322528887873,104.01322018714633,97.50836009038025,5650943.7618054515
14,414,83,79,105.06,11.188939168826877,0.19078477761437848,11.1905656047886,14.18833721468397,3.7332269174385466,14.671260891098413,75.32721953553053,77.29135549188655,107.92656594521662,102.66330842378775,5838305.200235695
19,423,85,79,107.59,10.668513261153318,0.23223403700675027,10.67104061707895,14.434802681013878,3.7407448495307696,14.911629705337255,75.56894140053251,72.79280967455716,104.92596458795802,97.007062513429,5700143.4244475905
13,435,83,79,105.06,10.946061730519197,0.2447291862338117,10.948797184299817,13.55110015354725,3.5222460879139708,14.001376106486589,73.7496482248345,75.38961749812157,105.463761737385,97.90300958341695,5520868.986255183
6,451,82,79,103.8,10.710006350984022,0.22782767431355394,10.712429299057298,13.339596045799077,3.4829006704816443,13.786784242365579,73.01779549841528,75.48271510529872,105.02018253229275,99.23809276175469,5596370.914354987
18,454,83,79,105.06,10.749779095351348,0.22191624818453387,10.752069448253259,13.383473600483525,3.4223771340227707,13.814124324846702,75.97213002496459,76.21052707194008,107.60952084789263,98.66225107863788,5533303.130974492
11,461,83,79,105.06,10.598577622849756,0.2068636135851501,10.600596218241552,13.708633179738927,3.2901138177548153,14.097924407174986,72.25316106404854,74.47839347792919,103.76680769302187,99.58753024922702,5674565.282909297
15,467,84,79,106.33,10.446567723652391,0.21788537828545998,10.448839707973633,14.091939766492539,3.5690035428882423,14.536868736822337,77.82543015415646,74.38465620617323,107.65628015861441,99.06161545777866,5773734.860845687
12,473,83,79,105.06,10.813380630577418,0.19040540321080865,10.815056859735817,13.411066005905353,3.5916442352973075,13.883681058267456,73.5735277923626,74.69149860579128,104.84218595485537,100.05104526955782,5711749.478319417
16,491,84,79,106.33,10.969548631941572,0.20702426375694785,10.971502004480305,14.197583918853423,3.718911213581904,14.676569413435503,76.83117928253313,71.09420644140417,104.67767813377283,97.92223092548792,5551398.253755552
9,492,89,79,112.66,10.523142324880649,0.1798206320221897,10.524678610266223,16.938971317810235,4.1291919549696425,17.434992845039652,76.45094148775084,76.1411706595281,107.89913958770424,94.23412350940573,5635149.377098087
10,501,82,79,103.8,10.77115525736118,0.2411377505238811,10.773854138278795,12.709932473077117,3.3466596587482043,13.143154657146543,73.4368898315325,75.11929482695166,105.05182170446702,99.63801567444864,5642925.120275002
17,502,88,79,111.39,10.230384125091696,0.15991837195678305,10.231633947352568,15.130349725828719,3.5408665757843,15.53915116515029,74.54038181234888,72.20273280954068,103.77621666786987,97.17812803192987,6110824.016825809
4,513,82,79,103.8,10.839762510712852,0.16055751269011873,10.8409515266667,11.947688147288247,3.247890834861737,12.381278081847242,50.30151608600282,71.47350380487107,87.39968115900264,100.48867062291808,5765149.597052231
8,518,84,79,106.33,10.190939164981634,0.2115380066969679,10.193134424338467,14.523516661014323,3.451964397803966,14.928114228075385,75.76611969559363,74.46162379480754,106.23106095623102,97.68153052599986,5607276.920990676
0,533,88,79,111.39,10.556849533752292,0.19978623482754052,10.55873982148971,16.044794007432966,3.560200953793903,16.435037133281806,76.59749225976866,70.86634918349674,104.35140280361644,93.37423629981288,5660027.29773111
5,566,82,79,103.8,10.583851184330024,0.20385401451877222,10.585814203512145,13.313976261059532,3.7982448164860036,13.845166216626637,74.31959260455497,77.18445444061699,107.14869038958294,101.01166388817137,5654093.0497379815
1,578,85,79,107.59,10.714620288352892,0.24359414184194741,10.717388955782239,15.019108058562674,3.7744671339596567,15.48612956875035,74.75842800840776,74.26112658038008,105.37332432487607,95.8868803766489,5560487.728859446
2,591,81,79,102.53,10.36856488761048,0.18127080484912766,10.370149320683844,13.026555912111263,3.405222706091245,13.464274975261024,72.62167679620691,73.08300184778489,103.02928272960104,99.82905945910684,5454469.1764687225
7,598,83,79,105.06,10.649967864950064,0.1853103598018907,10.651579951064486,13.535260116494324,3.38798911047065,13.952839733682518,72.81097872550468,72.29540694001962,102.60635695505874,98.9144511316173,5637757.098871437
