,Image,Number identified - YOLO_px,Number identifiable - YOLO_px,Percentage - YOLO_px,RMSE_cx - YOLO_px,RMSE_cy - YOLO_px,RMSE_c - YOLO_px,RMSE_sigmax - YOLO_px,RMSE_sigmay - YOLO_px,RMSE_sigma - YOLO_px,MaxE_sigmax - YOLO_px,MaxE_sigmay - YOLO_px,MaxE_sigma - YOLO_px,RMSE_amplitude - YOLO_px,RMSEPixel - YOLO_px
3,401,85,79,107.59,12.063135899547243,0.6525456605557878,12.080772474062064,58.424493120294905,173.56010161145855,183.12981807380032,381.75322543135917,913.9491386304023,990.4739033061398,99.66816099783081,33216569.94374039
14,414,83,79,105.06,13.281041744858907,0.7249181796613361,13.300811110450688,70.13085943371354,169.7059383784964,183.6258232543487,1113.5665340479302,1986.009379409365,2276.897819589955,105.09192372911009,29843877.059543524
19,423,85,79,107.59,12.631631749122304,0.6950568581285651,12.650740084337603,52.53142800752559,131.86347105104562,141.94198084477964,301.59719614971914,1060.2731274999387,1102.333875749028,99.52727046248756,24699993.356965035
13,435,83,79,105.06,12.968398541299504,0.7385381501274266,12.989411046124173,96.02760071503302,169.24261196377574,194.58767125233547,2687.830708028813,3272.1409035817196,4234.541298407097,100.17806668330623,29819359.296828046
6,451,82,79,103.8,12.765317970211813,0.6870759100136803,12.783795061981156,75.54636429086105,189.73868614750432,204.22542001070443,1284.478178383884,2083.243697581066,2447.40444027047,101.56933860173763,30717628.544024926
18,454,83,79,105.06,13.016215142371754,0.7478969902608601,13.037684094215084,70.96138845262527,122.83993442609922,141.86320220879244,419.4272608028292,611.8148463877361,741.7793697353774,100.85237754969381,25329931.200375598
11,461,83,79,105.06,12.63078558310716,0.7189668997950044,12.65123147560855,98.77651289236195,172.77939870172753,199.02140617256597,3237.4092461900746,714.0281643016582,3315.215656142596,101.79273172545744,30980696.471929695
15,467,84,79,106.33,12.131832627720533,0.6610494555805133,12.149829187677817,91.48948346111935,128.3386362064803,157.6106948380145,1697.5036882125557,751.1642466617053,1856.2775915681568,101.41576206442615,29916972.04821077
12,473,83,79,105.06,13.015422416688654,0.6934505558148135,13.033882551189473,93.2721734706698,181.64509931347717,204.19265522673854,2637.1030109384646,2732.6389213659495,3797.581831226916,102.48494346466421,29242026.56937317
16,491,84,79,106.33,12.823289515828545,0.6382972403463123,12.839165758482597,65.53229053414145,188.6686795086701,199.72569121221335,443.92760035096177,4135.299131589864,4159.05886254105,100.104686442417,30124944.525668178
9,492,89,79,112.66,12.68050415732625,0.6801769409571059,12.6987332578875,61.64828730564283,174.4880295453156,185.05832535264662,358.5482213677357,1197.1264843042638,1249.6674143421735,96.49820738322774,30607288.21263634
10,501,82,79,103.8,12.842159247674068,0.7614592698330085,12.864714313277043,48.067018957975094,183.36179606944924,189.55734374938004,156.51200142822935,947.6314892705204,960.4693883972225,101.78199727717936,32243341.6675409
17,502,88,79,111.39,12.42125460518599,0.7030573939987955,12.441135626063664,89.25834690987955,154.64880034528943,178.5589648864531,2388.023192751672,909.5907026542031,2555.3884275144665,99.599510931921,30111743.520135287
4,513,82,79,103.8,13.104886973346114,0.7248711917927644,13.124919078945505,71.77604561541692,171.8238429525056,186.21287208770966,660.221620131982,1623.5109677036967,1752.6210229093717,102.58874729727401,29002095.074145626
8,518,84,79,106.33,12.334661558842988,0.7971868157532409,12.360395729522972,62.62465540784488,157.6585042666248,169.64094857239115,415.1298400581939,1369.582347120062,1431.1144572149494,100.15841734214841,27467126.5027652
0,533,88,79,111.39,12.347068247609819,0.6684831150145907,12.365151191400543,70.19720917296874,161.37866456905593,175.9850037752234,407.4418235534157,861.3253218384583,952.8326976026045,95.53898038655589,28997127.08405176
5,566,82,79,103.8,12.572918003877703,0.689075208968259,12.591786679254328,61.51578192377993,132.8272945057582,146.3806052433637,425.6552586243187,829.2810551448497,932.142407369545,103.44083955503494,24138556.49886447
1,578,85,79,107.59,12.984504239591438,0.7652322789775411,13.007033896655962,56.32993011354122,158.9201285441522,168.6080314904551,368.40599747515694,1449.000645009028,1495.1006147454573,98.15185214912748,29399596.377988406
2,591,81,79,102.53,12.506659213020441,0.6388846059687205,12.5229668294048,75.28879600523688,159.001800169893,175.92605054733866,1150.674907633577,1021.4327527043297,1538.6284838630427,101.93017750958853,29568763.702496275
7,598,83,79,105.06,12.283227728482835,0.7208170663282485,12.304359417412986,59.97554721454363,142.77319011406385,154.85880691465556,609.5703808404381,912.3213317365905,1097.2266226899449,101.26179242658604,25476074.738670595
