,Image,Number identified - ensembled,Number identifiable - ensembled,Percentage - ensembled,RMSE_cx - ensembled,RMSE_cy - ensembled,RMSE_c - ensembled,RMSE_sigmax - ensembled,RMSE_sigmay - ensembled,RMSE_sigma - ensembled,MaxE_sigmax - ensembled,MaxE_sigmay - ensembled,MaxE_sigma - ensembled,RMSE_amplitude - ensembled,RMSEPixel - ensembled
2,6,76,79,96.2,0.9944735441602414,0.060920508105791006,0.9963377631819941,1.608974091277705,1.5505389591144016,2.234495175679395,6.72942454373059,8.613139019247098,10.930293612462592,22.717313047729984,535065.6647150955
10,37,77,78,98.72,0.8881911966812931,0.08387349524683216,0.8921425699220208,1.6926598655942533,2.6661848598952638,3.158106889851622,10.463316734667211,52.74316486332247,53.77101855916048,21.905566138335875,483878.97238374746
12,39,78,80,97.5,0.8923197179850554,0.08921558110808944,0.8967685872160013,1.332659487515524,1.7769786921022763,2.2211786469914245,8.701029152605482,20.666323414149588,22.423310009289843,20.151794514430694,461103.92571171327
3,60,76,79,96.2,1.0188395308436462,0.09683074621837023,1.0234305951176697,1.9311444257270265,1.9033101631909934,2.7114402760014267,10.651352275871497,18.74086032473641,21.556232301030537,26.232320918258896,562465.1527226974
16,62,75,78,96.15,1.0770740336873756,0.08392428413340114,1.080338724433637,1.586130665150931,2.2627573340224605,2.763309834167093,9.395028014834494,55.665524707087854,56.452787285615344,25.19732421682537,501055.4598908302
7,65,77,80,96.25,1.0441931922531105,0.08878739440959847,1.047961174926718,2.160523137759376,2.5664186543955156,3.3547525897482973,15.351374771881598,30.657384642440245,34.28614793909187,26.38992816861867,601200.0985544582
1,74,77,80,96.25,0.94259478624154,0.10105811661746268,0.9479966634878011,1.9193000655550376,2.1260973322851426,2.8642630130610516,12.352093812834761,27.377245775013314,30.034776639531632,26.04377878997643,627969.3894609044
6,88,77,79,97.47,0.8631476494964355,0.10390113064741781,0.8693786918144666,1.6676092612557147,2.187229253652722,2.7504349576494396,8.76305673778849,20.16542570428332,21.98716801283582,19.845293751124128,424528.113014118
17,93,77,78,98.72,1.0501278468361044,0.069869601553858,1.0524496453141725,1.7739551266142077,1.6667241902549657,2.434108937090101,9.218138691447276,12.53924328854176,15.562991459998841,23.444082143370668,605260.1816789788
15,98,74,79,93.67,0.9128172521277154,0.09903384619149672,0.9181737517885566,2.100779244613954,2.0811010339795346,2.9570686411092093,13.234708409033274,27.467171220932947,30.48939162318893,23.81639832597953,454195.7206185433
14,110,76,79,96.2,3.57220357219688,0.3176562628453087,3.586299466377703,1.502622729938495,2.2026611344188587,2.666381657153977,6.666059262189818,14.696827767560317,16.137939537510935,26.4202839140533,628903.0013607551
11,116,78,80,97.5,1.0339482513136424,0.09667050593381923,1.0384575933142575,2.1317331611565864,2.3157646256777356,3.1475469928048727,14.806439494979543,19.927281965658477,24.82593839228132,23.527603005364362,562146.9502298196
5,128,76,80,95.0,0.8192782861094248,0.11765778954485911,0.8276836748003302,1.8850137868606502,3.0078710255556684,3.5497274660221505,12.859146589278689,24.552244719461328,27.7158866314768,27.37224560423276,601534.4495938792
