,Image,Number identified - gmm,Number identifiable - gmm,Percentage - gmm,RMSE_cx - gmm,RMSE_cy - gmm,RMSE_c - gmm,RMSE_sigmax - gmm,RMSE_sigmay - gmm,RMSE_sigma - gmm,RMSE_amplitude - gmm,MaxE_sigmax - gmm,MaxE_sigmay - gmm,MaxE_sigma - gmm,RMSEPixel - gmm
2,6,68,79,86.08,1.4678105369839154,0.28486352700172696,1.495197311894612,16.183785632632247,41.52101152013602,44.56354244287882,15.804589349984246,57.93693200177303,170.04754538967438,179.64647445143876,305709.6153152174
10,37,67,78,85.9,1.5584243955976402,0.2853740565750099,1.584337384826839,13.491984999686297,40.90329181474649,43.071022050957495,16.55015312119395,37.51963640252124,56.41912003819605,67.7557394001554,312514.50923002756
12,39,70,80,87.5,2.1053844753637385,0.37855098929732584,2.139145773574262,13.34486790664558,39.58053074430906,41.76965302042876,14.192079746723499,39.16941554423768,59.554736737756684,71.28120216424996,306370.870860001
3,60,64,79,81.01,1.556781545431965,0.5042232066622101,1.6364014856795563,17.349903750761385,39.00310138918917,42.68795003436045,22.86152196316704,188.4873878629679,63.13421877049915,198.77984043450218,333010.7247555852
16,62,64,78,82.05,1.8674779253132576,0.491364692517012,1.9310393736494984,17.310386915794545,39.754910054955396,43.360147239741984,20.322037687438655,110.96173081536995,75.42650213252782,134.17027587916348,374301.725689791
7,65,68,80,85.0,1.2995673819614484,0.32401437442531905,1.3393508483934908,14.49588649828885,39.84651438491788,42.40136122813442,18.958966601144585,43.12473549977563,52.99963087170861,68.32791292336519,334563.5639813146
1,74,68,80,85.0,1.1909036212896873,0.2715736391549322,1.2214760237862814,13.343523121761452,38.92673041879693,41.15021203345947,19.871123176445334,35.23295413550569,48.25723519632114,59.75049628168542,308695.623311469
6,88,69,79,87.34,1.2267805359775241,0.3872511557048736,1.2864501315822785,15.884437009292721,39.86880740170909,42.91663014190143,17.45367870496868,43.286285353452456,52.160334686993096,67.78202574694598,318371.99405921757
17,93,66,78,84.62,1.5422608109731704,0.41432702369350227,1.5969456132336934,14.346793741506364,37.57718397336765,40.2228199661541,17.872715851611325,40.15212796726536,48.27909159152065,62.7938218712804,310333.77896283154
15,98,65,79,82.28,1.285762128849547,0.4749171505751274,1.370667921815535,15.23295919881634,38.72906590640154,41.61710696258447,19.019620498663173,42.93517913172092,59.92422342357627,73.71799074847097,337286.7759332365
14,110,63,79,79.75,1.3653454910977374,0.4055558866401052,1.42430470309178,14.77086490110438,38.24974044516969,41.00269618024561,21.29193577417321,32.40329315176213,58.61760308402991,66.97758429800157,333289.9891255445
11,116,70,80,87.5,1.6316798630452736,0.29362899688246424,1.6578893700357829,13.899849324502686,40.202193882979174,42.537303678636306,17.600391267622957,43.54415903819089,59.04488174611349,73.36478614945857,321191.62264331646
5,128,66,80,82.5,1.3766420586427826,0.3746771669238895,1.4267187308780769,14.194442729493462,38.81599897153066,41.329940485787525,22.621967865759306,41.08059584766671,50.030705196240376,64.7355143459326,322487.2413238813
19,149,71,78,91.03,1.4513467560859976,0.2890426295432849,1.4798489950311298,14.185619674270173,40.37034973163279,42.79015006981612,12.53490047584134,41.750965895654026,51.25322399839447,66.10624874737383,320557.59573733114
0,156,66,80,82.5,1.6429242148624175,0.4218994936807521,1.6962308682928058,14.128816311737513,38.446529908423,40.96045791211427,18.492294905526478,38.23077252942843,55.97982008192104,67.78887980045953,319527.9009378359
4,166,72,80,90.0,1.6224279825750143,0.3798844769134821,1.6663087272298194,14.879243488748584,40.36103074055039,43.016330494791404,12.120631642140694,39.642374741865446,62.04706909321125,73.62986254389058,315642.5032614146
9,176,68,79,86.08,1.26546387282667,0.35084888974695205,1.3131998160471023,17.599115914849996,38.72416371910708,42.53574657542213,18.022927921056848,40.34205022913036,51.071163489972534,65.08259949409812,323529.3911434839
8,177,68,78,87.18,2.346798825852649,0.30502246988184445,2.366538281151647,15.568976494963103,39.048479613977065,42.03780190809096,19.6713653353384,141.64590742660567,50.78036205652779,150.47328088833112,320572.3868493673
18,178,69,79,87.34,1.5013175755344041,0.37231097035077737,1.5467934319914987,13.50667024674401,37.37310647169048,39.73888811351662,15.096747924313814,39.068464952842646,49.43335404316983,63.00794748068587,310092.3564733099
13,188,65,79,82.28,1.6626508903693296,0.4372765841037979,1.7191913198511126,17.332454535044537,36.32993834575281,40.252681903391064,20.105621843822068,91.02801871275406,58.37602735618634,108.13815589633347,341256.8609791121
