,Image,Number identified - gmm,Number identifiable - gmm,Percentage - gmm,RMSE_cx - gmm,RMSE_cy - gmm,RMSE_c - gmm,RMSE_sigmax - gmm,RMSE_sigmay - gmm,RMSE_sigma - gmm,RMSE_amplitude - gmm,MaxE_sigmax - gmm,MaxE_sigmay - gmm,MaxE_sigma - gmm,RMSEPixel - gmm
36,4,59,80,73.75,5.46360648850741,2.1158677381302122,5.859000951230554,20.012035335809657,24.170642732799138,31.37995424468159,44.37550172122718,50.76306287982465,66.71075501110336,83.8284759917087,4.656693170804724
13,8,52,80,65.0,6.971019582060288,2.2131514567654933,7.313901379158132,21.79695125021684,26.32963040139826,34.1812305348793,41.01568174373919,90.35140452415679,97.52471532433856,132.94527595436062,4.599753288394888
20,28,56,80,70.0,5.485103864446149,2.0969827843249127,5.872282452464045,17.89473448928141,25.26660340880748,30.96163384351413,41.724092081647655,52.294273021524575,107.36866787812924,119.42663786933707,4.563110156584694
19,31,58,80,72.5,6.127471897304856,2.4740854533531054,6.608101897122517,19.706042879430896,27.124327735647206,33.52696349323585,42.90394183741365,61.21813429067333,70.26592585322736,93.19313441473122,4.640462959490898
6,45,52,80,65.0,5.382036672070535,2.254492633091805,5.835156876398209,17.13082970989617,27.40955773708934,32.32258006243152,46.583362454808395,71.49087667379334,144.76927583129722,161.4592477137985,4.565944084361748
38,57,56,80,70.0,6.844313414729737,2.1149983763789124,7.16364741253608,20.440260675338898,21.93723760090866,29.98410662391872,43.1767240527137,80.4495771550621,53.47679269491093,96.60176924551003,4.619652873017328
34,70,51,80,63.75,5.90946934919103,2.1836586350250777,6.300015319294696,18.20912747191432,25.59713039272118,31.413140683962105,48.91113325769079,54.30197009775457,82.50227774027066,98.76907303822483,4.537390968299575
4,77,53,80,66.25,6.812440780542306,2.7098159250012794,7.331606354393722,18.70881843583711,22.783396314744454,29.480553503959687,42.68143353232286,56.05804897387918,56.126875309420086,79.3267356365874,4.656333510883357
10,93,53,80,66.25,5.923679282693869,2.041397279003139,6.2655629511591355,19.70896970498802,25.780679955378123,32.451301141768894,47.48543675033794,50.28800548598168,81.52299427419636,95.78560482237806,4.605297650185517
30,97,56,80,70.0,7.176804658420881,2.308383347401376,7.538909654830176,20.35891795411787,25.395788193683693,32.54891086105566,43.73915532754357,61.4847809822292,77.76936612878598,99.13855254393145,4.497610501524698
28,109,57,80,71.25,6.689315642854105,2.282373500043766,7.067968064686955,18.555155360804363,24.341697696567625,30.607385337768932,40.53026434633297,58.121318583378724,58.819329908184706,82.69099857129842,4.5566039028088845
7,115,56,80,70.0,5.64467757235703,2.2216376281556744,6.06614034182425,22.571665073117522,25.91665974305652,34.367911144123376,44.54495007349316,209.98701401546333,61.533425639077144,218.81706634997698,4.6040174568469245
23,144,53,80,66.25,6.307091768516152,2.7387472956827885,6.876055797191729,22.759794620586078,26.542704571968574,34.96460234531576,43.175625486271834,56.18884642886647,92.65720580837512,108.36302068151443,4.510200386460332
26,155,54,80,67.5,6.2332251450029785,2.210592308255181,6.6136082482722225,22.309501109408107,23.91386526557848,32.704537784395036,42.638578578657345,70.79018724512271,65.27155078427404,96.28928264341572,4.518464010938006
8,172,55,80,68.75,7.256793400663356,2.4988697542357,7.674985375135591,22.627600631736534,26.329304116760127,34.71657479680571,44.93423215201156,120.78709345758602,86.88980099617567,148.79300878430624,4.509969672291982
9,188,50,80,62.5,6.964014118135547,2.085670228766995,7.269629491298452,23.70074811417774,29.497757757893865,37.839703671079235,45.10168666980697,154.72674037970344,99.10097466414184,183.74266616088664,4.551449400817901
25,191,57,80,71.25,5.454392171818466,1.8854624199896326,5.771079838400064,21.566871564564956,23.328004885234975,31.769887645504625,41.03808998005311,58.81592170520644,57.870644283357656,82.51256944129112,4.588513862262077
21,193,53,80,66.25,7.106507557555568,1.9389294981368903,7.36626752598219,22.0405648186902,23.106628016706104,31.932784968262816,46.039995664145096,73.63121325192884,49.944159475827384,88.97176310885325,4.5112643272615065
29,194,54,80,67.5,6.8409495809960905,2.268437641189044,7.207246388302116,20.63197368950368,24.510691937478256,32.038295172782426,43.97201158720521,65.17643604736189,86.67418549003226,108.44529609990639,4.554033459733344
15,200,56,80,70.0,6.773859840215304,2.672351615980234,7.281939322344967,23.66917088920108,31.92712962572805,39.74382035889662,48.29635022436513,87.54852385170065,186.15239413732397,205.71207517224022,4.441394823676025
0,208,54,80,67.5,5.0518216599820285,2.449040402177687,5.61415184829928,22.28680846902437,21.988126354546363,31.307819028454738,49.51333386282497,72.87427359532896,83.9362010443237,111.15730114481903,4.738929420153664
31,209,53,80,66.25,7.253174672103772,2.690106021415647,7.735968797151679,24.30707807766652,28.340856121788345,37.33682057151739,50.06982370257954,56.62151253017284,139.02727392760082,150.11521767277517,4.8714025962428344
5,230,52,80,65.0,6.901641933630441,2.5669712617000515,7.363559114887317,22.039345436803558,30.272199491480333,37.44514400205634,42.42748912695521,51.35953238073394,125.18731560868169,135.31321279045642,4.505286293904057
39,242,56,80,70.0,5.741455741910541,1.8879858575382455,6.043906405180507,19.95904650680234,24.43550423501952,31.550870109718932,46.037773744551515,61.15735388661855,63.53645342076098,88.18788379194517,4.561059044259626
2,262,52,80,65.0,6.165838000738813,3.1214773909712497,6.910946342846216,21.627292310982746,29.55872521324113,36.62591990567049,47.092921058003675,137.48882250868172,327.20216768298394,354.91468672241126,4.623800214043417
14,285,53,80,66.25,7.197022698555823,2.5422908283432437,7.6328486411958885,19.028824781487007,21.583093186822463,28.773704733238578,47.98223302044921,74.35432604282663,52.95571502571206,91.28457457406148,4.591714016216946
24,286,56,80,70.0,7.217821299742015,2.1360919215034992,7.52727261444157,21.223101876833827,26.13839449601328,33.669507274441735,48.906342491593236,52.534901649566656,141.50601029752679,150.94325702612025,4.6670452792642845
3,288,55,80,68.75,6.530664671453766,2.3338533769422196,6.935160606362258,20.2226764580019,21.247923763054214,29.33310258676344,50.13495103126555,58.250780275587445,54.604591393660876,79.84243736249182,4.560514394826051
27,291,58,80,72.5,5.704570269707016,1.9345585690257576,6.0236731998852795,19.243590610991497,23.767896619584324,30.581508944502527,49.048137944530126,51.63626541726391,66.96962356366242,84.56497139182851,4.741834696122113
18,297,54,80,67.5,5.980224444269258,2.0059162974215545,6.307676640102673,21.02101819391189,23.364225947978255,31.42881257790302,49.430300740431655,92.98087882496067,55.106375581538146,108.08402498424807,4.613611355334923
33,301,56,80,70.0,6.752083458323408,1.8857765614553084,7.010476750399991,23.52391913518619,24.28958171844991,33.813585310286676,43.56775524923391,123.51631312298798,62.01469034558511,138.2103520947502,4.539751690792032
1,304,58,80,72.5,5.556216753137793,2.760564851523456,6.204213318972503,23.895005799734694,21.38984930857346,32.070187957242084,46.903596010769476,81.26306148444507,81.08127906510776,114.79485605487113,4.47364782007803
32,310,53,80,66.25,6.253526986616132,2.399067446895373,6.69791940733011,22.586422431684543,26.393422590484512,34.73844029749178,49.7023283307583,75.60856288777772,127.46086744354221,148.1989457162745,4.485503385094008
22,322,52,80,65.0,8.045036517856326,2.0190294564759275,8.29452183792166,19.771857746102235,23.970720658512114,31.072846789770043,43.179074112132845,49.89063425418585,57.95345299303112,76.4701124629774,4.549181389821938
11,323,54,80,67.5,5.87582001564642,2.5941286650562363,6.4229871856588305,21.576113106042826,22.08751627871587,30.876966044728093,48.68375063274131,105.55192657737528,73.3394082487918,128.52967753199482,4.558082821756313
35,324,54,80,67.5,5.440745822796646,2.1311995341174113,5.843263348720595,18.461942745857254,24.565024929129624,30.729200766047775,47.44447377190258,71.27413008833064,66.26529309147622,97.31952881281087,4.6896084909087286
37,357,51,80,63.75,6.863839566005805,2.4283373537916964,7.2807359443731245,20.534318439055408,30.446381197707094,36.72383914833283,45.65895002972439,91.52650778330728,128.7588996789028,157.97454185257055,4.4691044892431995
17,365,55,80,68.75,6.6871328687373115,2.0460190146363395,6.993135191915022,17.530503257435083,24.53178924154936,30.151736730257166,43.376333660484775,60.98110847532687,75.40800647711362,96.97970422584301,4.545119612775517
12,371,51,80,63.75,5.544897336294617,2.419527032466174,6.0497931808353345,22.87035466780811,35.941090015028564,42.60064640471689,47.47309525465048,65.36887828085007,146.94922598942222,160.8327244891004,4.580843564087282
16,383,51,80,63.75,5.707267706796121,2.3461421858200433,6.17067968971995,20.817732132996163,25.39385314165548,32.83634797813464,45.221433531076364,50.50442733716676,60.48758312798317,78.80003104897759,4.748877228100979
