,Image,Number identified - YOLO,Number identifiable - YOLO,Percentage - YOLO,RMSE_cx - YOLO,RMSE_cy - YOLO,RMSE_c - YOLO,RMSE_sigmax - YOLO,RMSE_sigmay - YOLO,RMSE_sigma - YOLO,MaxE_sigmax - YOLO,MaxE_sigmay - YOLO,MaxE_sigma - YOLO,RMSE_amplitude - YOLO,RMSEPixel - YOLO
36,4,80,80,100.0,0.3711088090259906,0.10028398914207651,0.384419857206853,1.6238887311653794,1.901986308546829,2.5009131390565122,9.993759332089892,6.614528707983289,11.984457251643434,50.194879517438494,3.1040815217946958
13,8,80,80,100.0,0.4372131125243474,0.11721587120246259,0.4526531411853672,1.9465921384842488,1.73381108272797,2.6067838084887316,10.634884485896656,7.95131802089689,13.278713277189361,50.69517621740911,2.9147316735417954
20,28,80,80,100.0,0.4943120775419531,0.07225983617026349,0.49956572533270854,1.5500829694695872,1.9354002088878626,2.479623193310394,11.941321045454051,10.187172727957202,15.69629371857697,49.5513827067448,2.9796296894568064
19,31,80,80,100.0,0.4254234044024252,0.12026936425362195,0.4420970402426596,1.5189183915045836,1.6857453392347428,2.2691078486494485,8.141044162699641,8.928950669375915,12.083160187433357,51.22723677671883,3.1533141332582417
6,45,80,80,100.0,0.3343223311384954,0.13429884988662932,0.36028822098252,1.4538051516028205,1.467424595233946,2.0656438128400576,6.005495571084327,6.374022346956405,8.75751893710845,54.08248139916574,3.14292129933475
38,57,80,80,100.0,0.5732621870967985,0.10928592419085492,0.5835862818652048,1.7453826987075816,1.6441157986416481,2.3978068154650876,10.01886090591196,5.961549067069314,11.658372147563572,52.080069403287176,3.02530749078676
34,70,80,80,100.0,0.39193640054565604,0.09827012791886959,0.40406826170076254,1.9575483345735014,1.9158983495057742,2.739098751018378,9.911166426565478,8.27144589356163,12.909222947381311,54.931330776122,3.1725149061185887
4,77,80,80,100.0,0.3490635830867138,0.09850800291224956,0.36269713491437305,1.5483920217717297,1.5470329898149848,2.1887962273044597,5.481272312506553,7.803738549461967,9.536387235856653,47.68919015262939,2.956909797946627
10,93,80,80,100.0,0.4229388900500113,0.09218775421988877,0.43286936452565244,1.4316445190407117,1.501443920380422,2.074593906032369,7.3251680950177676,5.593592401338895,9.216635154576883,52.87653427805118,2.963875457066133
30,97,80,80,100.0,0.5084649960764588,0.09314216890502068,0.5169256386206479,1.6783003479298348,1.6350247330764824,2.3430744622468205,8.250078414028076,10.003424217671409,12.966583586909346,52.53010913036491,3.1364315404153085
28,109,80,80,100.0,0.30753924220692114,0.06827629880909264,0.31502704403951703,1.4615386289290804,1.3033971505133166,1.9583001036149004,6.885884313024581,4.789468956125483,8.387753909959908,45.56362899744945,2.7959715653438253
7,115,80,80,100.0,0.41778861121959915,0.13490263400396113,0.4390285233626718,1.9267075998587446,1.794537388366035,2.6329767590309325,6.94170544696548,6.699079374962742,9.647017102943344,53.59801484768545,3.1481770992090263
23,144,80,80,100.0,0.42372683474141526,0.11224342149746107,0.4383412097321393,1.563323529454632,1.7039522356679486,2.312451876079649,10.899372693770234,6.158799157751596,12.519070739604675,48.947451268545805,2.8183763613156674
26,155,80,80,100.0,0.48684706627980984,0.10750459363560913,0.4985752737531365,1.4708417375901834,1.7287445831247354,2.2697870496415353,7.974493597313681,7.6421367773042554,11.045125742001455,51.86851222651809,3.1050868922721526
8,172,80,80,100.0,0.43894955315371775,0.14758527504958183,0.4630962358142303,1.5179483892757977,1.8252186998408333,2.373939892826617,9.324810090890407,10.166981445225062,13.795636808017319,51.841896285829904,2.9586658609052434
9,188,80,80,100.0,0.46521506353026404,0.12337143424747143,0.48129571587927705,1.6033174446530452,1.954704791515287,2.528141145249132,13.92244995829231,9.676643935088904,16.955000757524207,53.119028097582124,3.1149992303512604
25,191,80,80,100.0,0.399798348650639,0.07471112423259747,0.406719155767068,1.7584509922263438,1.3887435834808346,2.2407049410221336,8.181734157483792,5.650483387304915,9.943275935723891,48.47771275015905,3.2989808423765234
21,193,80,80,100.0,0.3857986161138754,0.10625235903163976,0.40016263693049836,1.3539601896032505,1.5286191032701049,2.042029519353912,5.431534473510011,6.176011205649128,8.224638663748777,52.360413639421544,2.9459530213412206
